Size	Insertion Sort	Quick Sort	Bubble Sort	Selection Sort	Heap Sort
4	0.000000	0.000001	0.000000	0.000000	0.000000
8	0.000000	0.000001	0.000001	0.000000	0.000001
16	0.000001	0.000002	0.000002	0.000001	0.000002
32	0.000005	0.000004	0.000007	0.000003	0.000005
64	0.000019	0.000010	0.000029	0.000012	0.000014
128	0.000072	0.000021	0.000117	0.000034	0.000028
256	0.000291	0.000048	0.000496	0.000120	0.000065
512	0.001135	0.000098	0.002158	0.000434	0.000137
1024	0.004508	0.000214	0.008742	0.001686	0.000318
2048	0.018183	0.000485	0.035367	0.006604	0.000716
4096	0.071779	0.001103	0.142237	0.026299	0.001486
8192	0.284227	0.002794	0.576408	0.103971	0.003182
